# 2026 Topps Chrome drop read 2026-08-31 from eBay_assets/card drop IMG_2456-2685.
# back_photo = the frame the number and name were read from; front = back-1.
# Parallel is filled in on the fronts pass.
back	number	player	team	parallel
2457	16	Kevin McGonigle	Detroit Tigers	base
2459	274	Munetaka Murakami	Chicago White Sox	base
2461	142	Carson Whisenhunt	San Francisco Giants	base
2463	86	Trey Yesavage	Toronto Blue Jays	base
2465	63	Kyle Teel	Chicago White Sox	base
2467	184	Parker Messick	Cleveland Guardians	base
2469	254	Bryce Eldridge	San Francisco Giants	base
2471	70	Jhostynxon Garcia	Pittsburgh Pirates	base
2473	39	Carter Jensen	Kansas City Royals	base
2475	247	Warming Bernabel	Washington Nationals	base
2477	294	Luis Morales	Athletics	base
2479	115	Owen Caissie	Miami Marlins	base
2481	195	Carson Williams	Tampa Bay Rays	base
2483	189	Brady House	Washington Nationals	base
2485	63	Kyle Teel	Chicago White Sox	base
2487	185	Rafael Flores	Pittsburgh Pirates	base
2489	13	Kyle Karros	Colorado Rockies	base
2491	254	Bryce Eldridge	San Francisco Giants	base
2493	232	Christian Moore	Los Angeles Angels	base
2497	259	Colson Montgomery	Chicago White Sox	base
2499	6	Sal Stewart	Cincinnati Reds	base
2501	236	Nolan McLean	New York Mets	base
2503	255	Cody Freeman	Texas Rangers	base
2505	147	Colby Thomas	Athletics	base
2507	269	Jonah Tong	New York Mets	base
2510	236	Nolan McLean	New York Mets	UNKNOWN - front IMG_2509 missing from the drop
2512	85	Grant Taylor	Chicago White Sox	base
2514	259	Colson Montgomery	Chicago White Sox	base
2516	64	Shinnosuke Ogasawara	Washington Nationals	base
2518	39	Carter Jensen	Kansas City Royals	base
2520	74	Konnor Griffin	Pittsburgh Pirates	base
2522	63	Kyle Teel	Chicago White Sox	base
2524	142	Carson Whisenhunt	San Francisco Giants	base
2526	70	Jhostynxon Garcia	Pittsburgh Pirates	base
2528	245	Jacob Melton	Tampa Bay Rays	base
2530	225	Roman Anthony	Boston Red Sox	base
2532	74	Konnor Griffin	Pittsburgh Pirates	base
2534	218	Dylan Beavers	Baltimore Orioles	base
2536	73	Justin Crawford	Philadelphia Phillies	base
2538	257	Denzer Guzman	Los Angeles Angels	base
2540	284	Chase DeLauter	Cleveland Guardians	base
2542	195	Carson Williams	Tampa Bay Rays	base
2544	102	Alex Freeland	Los Angeles Dodgers	base
2546	261	Jakob Marsee	Miami Marlins	base
2548	22	Mason Barnett	Athletics	base
2550	64	Shinnosuke Ogasawara	Washington Nationals	base
2552	184	Parker Messick	Cleveland Guardians	base
2554	167	Will Banfield	Cincinnati Reds	base
2556	86	Trey Yesavage	Toronto Blue Jays	base
2558	192	Nathan Church	St. Louis Cardinals	base
2560	229	Otto Kemp	Philadelphia Phillies	base
2562	64	Shinnosuke Ogasawara	Washington Nationals	base
2564	247	Warming Bernabel	Washington Nationals	base
2566	115	Owen Caissie	Miami Marlins	base
2568	39	Carter Jensen	Kansas City Royals	base
