# Kayou Naruto Earth Scroll 2 (NREA02) cards read off the 2026-08-27 photo drop.
# Source photos: eBay_assets/card drop/IMG_2031-2385 (336 frames, front then back,
# though the R batches run as consecutive fronts with one back for the batch).
# Codes read from the bottom strip of each front via scripts/naruto_codesheet.py.
# EVERY code below was verified against the narutodb NREA02 checklist: 0 failed.
# `DUR` = the diamond parallel; narutodb spells it with the glyph as (diamond)UR.
photo	code	note
2031	NREA02-UR-014L3	
2033	NREA02-UR-013L3	
2035	NREA02-SSR-019L3	
2037	NREA02-SSR-004L3	
2039	NREA02-SSR-012L3	
2041	NREA02-SSR-017L3	
2043	NREA02-SSR-018L3	
2045	NREA02-SSR-023L3	
2047	NREA02-SSR-015L3	
2049	NREA02-SR-018L2	
2051	NREA02-SR-013L2	
2053	NREA02-SR-006L2	
2055	NREA02-SR-001L2	
2057	NREA02-SR-003L2	
2059	NREA02-SR-012L2	
2061	NREA02-SR-009L2	
2063	NREA02-SR-007L2	
2065	NREA02-SR-010L2	
2067	NREA02-SR-004L2	
2069	NREA02-R-043L1	
2071	NREA02-R-040L1	
2072	NREA02-R-032L1	
2073	NREA02-R-024L1	
2074	NREA02-R-003L1	
2075	NREA02-R-001L1	
2076	NREA02-R-026L1	
2077	NREA02-R-008L1	
2078	NREA02-R-037L1	
2079	NREA02-R-041L1	
2080	NREA02-R-038L1	
2081	NREA02-R-029L1	
2082	NREA02-R-011L1	
2083	NREA02-R-028L1	
2084	NREA02-R-027L1	
2085	?	code below crop, read individually
2087	NREA02-UR-005L3	
2089	NREA02-UR-012L3	
2091	NREA02-SSR-025L3	
2093	?	code not in crop, read individually
2095	NREA02-SSR-013L3	
2097	NREA02-SSR-016L3	
2099	NREA02-SSR-017L3	dup of 2041
2101	NREA02-SSR-010L3	
2103	NREA02-SSR-019L3	dup of 2035
2105	NREA02-SR-016L2	
2107	NREA02-SR-010L2	
2109	NREA02-SR-005L2	
2112	NREA02-SR-004L2	dup of 2067
2114	NREA02-SR-002L2	
2116	NREA02-SR-008L2	
2118	NREA02-SR-012L2	dup of 2059
2120	NREA02-SR-010L2	dup
2122	NREA02-SR-013L2	dup of 2051
2124	NREA02-SR-018L2	dup of 2049
2126	NREA02-R-039L1	
2128	NREA02-R-042L1	
2129	NREA02-R-017L1	
2130	NREA02-R-032L1	dup of 2072
2131	NREA02-R-040L1	dup of 2071
2132	NREA02-R-041L1	dup of 2079
2133	NREA02-R-006L1	
2134	NREA02-R-015L1	
2136	NREA02-R-028L1	dup of 2083
2137	NREA02-R-027L1	dup of 2084
2138	NREA02-R-034L1	
2139	NREA02-R-003L1	dup of 2074
2140	NREA02-R-048L1	
2141	NREA02-R-009L1	
2142	NREA02-R-047L1	
2147	?	MR-style card, code at bottom RIGHT, needs right crop
2149	?	MR-style card, code at bottom RIGHT, needs right crop
2085	NREA02-MR-004L4	The Hierophant
2093	NREA02-SSR-001L3	code at bottom RIGHT
2147	NREA02-MR-001L4	The Moon
2149	NREA02-MR-001L4	The Moon, dup of 2147
2154	NREA02-UR-005L3	dup of 2087
2157	NREA02-UR-014L3	dup of 2031
2159	NREA02-SSR-008L3	
2161	NREA02-SSR-007L3	
2164	NREA02-SSR-003L3	
2166	NREA02-SSR-002L3	
2168	NREA02-SSR-021L3	
2170	NREA02-SSR-004L3	dup of 2037
2172	NREA02-SSR-014L3	
2174	NREA02-SR-020L2	
2176	NREA02-SR-006L2	dup of 2053
2178	NREA02-SR-002L2	dup of 2114
2180	NREA02-SR-014L2	
